name,line
Rocky, More ammo! Hurry!
All, Aaah!
Fowler, Keep pedalling. We're not there yet.
Mac, Safety at all times is imperative.
Nick, Here's a thought.
Fetcher, Right. We'll need a chicken.
Nick, From the chicken that comes from the egg.
Fetcher, But you need an egg to have a chicken.
Nick, But you get the chicken to get the egg.
Fetcher, Hang on. Let's go over this again.
Nick," The egg, obviously. Rolling along, happy as Larry, then crack!"
 Fetcher, But where'd the egg come from?
Nick, What do you mean?
Fetcher," Egg comes rolling along, happy as Larry."
Nick," Without an egg, you get no chicken"
Fetcher, We got two eggs now?
Nick," No, we're still talking about the first egg."
Fetcher, What about the first chicken?
Rocky," Er, guys? Guys?"
 Rocky, Thanks.
Nick, Thinks he's such a big shot cos he's got his name on a poster.
Fetcher, The rats are the stars.
Nick, We do all the hard work. He gets all the credit.
Fetcher," He gets everything. You said it, mate."
Nick, I know.
Sights we see and hear include," a marching band playing ""Jingle Bells,"" one of Santa's helpers standing by a store window ringing a bell, carolers singing ""Go Tell It on the Mountain,"" and Ralphie and friends running toward the Higbee's window.</i>"
We begin our next fantasy sequence," an overworked Miss Shields, dressed fancily, laboring over themes.)</i>"
 begins," a blind Ralphie walks toward the door, using his cane to knock. His mom opens.)</i>"
s business as usual," Ralphie, Flick, and Schwartz being chased by Scut and Grover, with Randy falling behind. Cut to Miss Shields' class, where students give her fruits as a token of their appreciation. Ralphie goes overboard, bringing a whole basket with him. He sets it on her desk. She pushes it aside, and sees her student.)</i>"
 His excited parents watch as he tears off the wrapping paper to reveal what he wanted all along, an official Red Ryder carbine action 200-shot range model air rifle.</i>
Narrator," Once upon a time in a faraway land, there was a tiny kingdom. Peaceful, prosperous and rich in romance and tradition. Here in a stately chateau, there lived a widowed gentleman and his little daughter, Cinderella. Although he was a kind and devoted father, and gave his beloved child every luxury and comfort, still he felt she needed a mother's care. And so he married again, choosing for his second wife, a woman of good family with two daughters just Cinderella's age, by name, Anastasia and Drizella. It was upon the untimely death of this good man, however, that the stepmother's true nature was revealed…cold, cruel and bitterly jealous of Cinderella's charm and beauty, she was grimly determined to forward the interests of her own two awkward daughters. Thus, as time went by, the chateau fell into disrepair, for the family fortunes were squandered upon the vain and selfish stepsisters, while Cinderella was abused, humiliated and eventually forced to become a servant in her own house. And yet, through it all, Cinderella remained ever gentle and kind, for with each dawn she found new hope that someday, her dreams of happiness would come true."
Girl," (laughs) Well, serves you right, spoiling people's best dreams."
Girl," Yes, I know it's a lovely morning, but...it was a lovely dream as well."
Girl," What kind of a dream? Uh-uh. Can't warn. Because if you warn a wish, it won't come true And after all.... (sings) A dream is a wish your heart makes, if you're fast asleep."
Girl," (singing) In dreams, you will lose your heartaches. Whatever you wish for, you keep. Have faith in your dreams and someday."
Girl," (singing) Your rainbow will coming grinning through, no matter how your heart is grieving. If you keep on believing, the dream that you wish will come true."
Girl," Oh, that clock! Old killjoy. I hear you! ""C'mon, get up,"" you say, ""time to start another day."" Even he orders me around. Well, there's one fact. They can't order me to stop dreaming. And maybe someday..... (singing) The dreams that I wish will come true. (Hums as she gets ready for the day as the female mice shoo the male mice out)"
Female Mouse," Shoo! Shoo! Hurry up! C'mon, there. Shoo!"
Girl," (singing) No matter how your heart is grieving, if you keep on believing. The dream that you wish will come truuuuue!"
Girl," Wait a moment! Wait a moment! One at a time, please! Now, Jaq, what's all the fuss about?"
Jaq," New mouse in the house. Some brand-new. Never saw before. Visitor, visitor!"
Girl," Oh, a visitor! Well, she'll need a dress----"
Jaq," Not a she, it's a he."
Jaq," He, he!"
Cinderella," Oh, that does make a difference. He'll need a jacket, shoes..."
Jaq, Gotta get him out! Gotta get out!
Jaq, Trap-trap!
Cinderella," Where? In a trap? Well, why didn't you say so? (Heads down the stairs)"
Cinderella," Now, now, now, calm down, everybody."
Cinderella," Oh...the poor little fella's frightened to death. Jaq, perhaps you'd better explain facts to him. (puts the open cage down)"
Jaq," Zuk-zuk, Cinderelly. Zuk-zuk."
Jaq," Now, now, now. Look-a, little guy. (dodges the mouse's punch) Take it easy. Nothing to worry about. (chuckles) We like-a you. Cinderelly like you as well. She's nice. Very nice."
Jaq," That's-a better. C'mon, now. Zuk-zuk-zuk!"
Cinderella," Well, that's better. (looks at the mouse) Well, let's just slip it on for size. (puts a shirt on the mouse, but it rides up) It is a little snug, but it'll have to do. (pulls the shirt down, but puts a hat and shoes on him) Now, for a name. I have one...Octavius. But for short, we'll call you Gus."
Jaq," Like it, Gus-Gus? Like it? Like it?"
Gus, Uh...Gus-Gus. Yes!
Cinderella," Now I have to hurry. See that he keeps out of danger, Jaq. And don't forget to warn him about the cat! (leaves)"
Jaq, Zuk-zuk. Look-a...ever see a cat-cat?
Gus, Duh...cat-cat?
Jaq," Hup! Cat-cat! Lucifee, that's-a him. Meany...sneaky...jump at you! Bite at you! Ha! Big, big as a house! (mimics meowing) Zuk-zuk...Lucifee?"
Gus, Duh...Lucifee. Zuk-zuk.
Cinderella," Here kitty, kitty, kitty, kitty. (the cat yawns) Come, kitty. C'mon. (the cat turns around, not paying Cinderella any mind) Lucifer! Come here! (Lucifer begrudgingly walks out the door and yawns as Cinderella closes the door on him) I'm sorry if Your Highness objects to an early breakfast. (Jaq and Gus make it to the hallway) It's certainly not my idea to feed you first. It's orders. C'mon. (Lucifer follows Cinderella downstairs)"
Gus, (mimics Lucifer's walking) Duh... R-ucifee.
Jaq," Zuk. R-ucifee, that's-a him!"
Gus," (chuckles, and gets into a fighting position) Gus-Gus take-a R-ucifee and... Look-it. (Jaq stops him by yanking his tail)"
Jaq," Wait! No, Gus-Gus, no! Now, listen here. R-ucifee not-a funny. R-ucifee mean."
Cinderella," (she enter and opens the door, leaving the sun shining on a dog, which whines and growls in his sleep, running in place) Bruno... Bruno! (Bruno gnaws on the rug, but completely wakes up) Dreaming again. Chasing Lucifer? (Bruno nods) Catch him this time? (Bruno nods again) That's bad. (Lucifer chuckles) Suppose they heard you upstairs? You know the orders. Then if you don't want to lose a nice warm bed, you'd better get rid of those dreams. Know how? (Bruno shakes his head no) Just learn to like cats. (Lucifer walks over to Bruno) No, I mean it. Lucifer has his good points as well. For one fact, he... Well... sometimes he... Huh... There must be something good about him. (Lucifer frowns at her and Bruno laughs, where Lucifer lies on his back and scratches Bruno, but feigns distress as Bruno growls) Bruno! Oh, Bruno. C'mon now, outside. (leads Bruno outside) I know it isn't easy, but at least we should try to get along together. (puts Lucifer's milk down) And that includes you, Your Majesty! (goes outside as Lucifer twirls his finger in the milk; she calls out) Breakfast time! Everybody up! Hurry up, hurry up! C'mon, everybody. Breakfast, breakfast! (spreads out corn for the chickens as the mice look over)"
Jaq," C'mon, everybody, breakfee! Breakfast!"
Gus," Breakfast? Ooh, breakfast! (they all run down until the see Lucifer)"
Jaq, Uh-oh. R-ucifee! How we gonna get out? (they retire back into the hole and pulls Gus in)
Jaq," Hup-hup... carefee! (gets an idea) Listen, ibby-dibby! Have an idea. Now somebody has to sneak out, get R-ucifee to chase him, run over to a corner and keep R-ucifee there. Then we all run out. Zuk?"
Mice," Zuk-zuk, out!"
Jaq," Now we choose the one that do it. Ibby-dibby, hup! (turns his back, and the mice follow suit)"
Mice, Hup!
Gus," Uh, hup."
Jaq, R-ails up!
Mice, Hup! (the mice rally their tails together)
Jaq, (selects a tail) Now...
Mice," (the mice separate) Hup, hup, hup!"
Gus," Uh, duh... uh, hup! (Jaq realizes the tail he selected is is own)"
Cinderella," Oh, there you are. I was wondering. Alright, breakfast is served. (spreads the corn for the mice but the chickens get it until Gus takes a kernel for himself)"
Gus," Uh... rack 'er easy, cluck-cluck. (a chicken grabs the kernel) Uh, duh... Let go! Let go now! (the chicken shakes him away)"
Cinderella," Stop that. Shoo, shoo, shoo. Go ahead! Shoo, shoo, shoo! (Cinderella shoos the chickens away from Gus) Poor little Gus. (lays out a bunch of kernels for him) Here. Help yourself."
Jaq," Huh... No Gus-Gus. Well, guess he got away. (As Gus climbs the tablecloth, but Lucifer traps them both under a teacup, then a bell rings)"
Cinderella," Hang on, we're coming! Oh, my heavens. Morning, noon and night. (organizes the plates)"
Cinderella," Alright, hold on. (gets the soup ready)"
Cinderella, Hang...on.
Cinderella, In a moment.
Voices," Cinderella! (Cinderella gets the breakfast ready) Cinderella! (Lucifer watches her go up the stairs as Gus peeks out from under the teacup, but she enters a room)"
Cinderella," Good morning, Drizella. Sleep well?"
Drizella, As if you cared. Take that ironing and have it back in an hour. One hour! You hear?
Cinderella," (comes out with a basket of clothes) Yes, Drizella. (enters another room) Good morning, Anastasia."
Anastasia," Well, it's about time! Don't forget the mending. And don't be all day getting it done, either!"
Cinderella," (comes out with a basket of clothes) Yes, Anastasia. (approaches another room) A-a-ahem."
Voice," Well, come in, child. Come in."
Cinderella," (enters the room) Good morning, Stepmother."
Stepmother, Pick up the laundry and get on with your duties.
Cinderella," (comes out with a bag of laundry on her head) Yes, Stepmother. (Lucifer grumbles in frustration until he hears a shriek)"
Anastasia," Mother! Oh, Mother, Mother! Mother! (Sees Cinderella coming to see what's wrong) You did it! You did it on purpose! Mother! Oh, Mother, Mother, Mother! (enters the stepmother's room)"
Drizella, Now what have you done? (Follows Anastasia)
Anastasia,"[offscreen] Ohh! She put him there! A big ugly mouse, under my teacup!"
Cinderella," (to Lucifer) All right, Lucifer. What have you done with him? (Lucifer shows his empty paws) Oh, you're not fooling anybody. (picks him up) We'll just see about this. C'mon! Let him go. (Lucifer keeps one foot down) Now the other one. C'mon! (Lucifer lifts up the other foot, exposing Gus) Oh... poor little Gus. (Gus runs off) Oh, Lucifer, won't you ever learn?"
Stepmother, Cinderella!
Cinderella," Yes, Stepmother. (Drizella and Anastasia exit the stepmother's room as Lucifer enters)"
Drizella, Huh!
Anastasia, Are you gonna get it?
Stepmother," Close the door, Cinderella. (Cinderella enters the room as the stepsisters peek in) Come here. (she approaches her as she pets Lucifer)"
Cinderella," Oh, please, you don't think that I--"
Stepmother, Hold your tongue! Now... It seems that she has time on her hands.
Cinderella, But I was only trying to--
Stepmother," Silence! (Pauses) Time for vicious practical jokes. Well... maybe we can put them to good use. Now, let me see... There's the large carpet in the main hall. Clean it! And the windows, upstairs and down. Wash them! Oh, yes... and the tapestries, and the draperies."
Cinderella, But I just finished-----
Stepmother," Do them again! And don't forget the garden, then scrub the terrace, sweep the halls and the stairs, clean the chimneys. And of course, there's the mending, and the sewing, and the laundry. Oh, yes, and one more fact. See that Lucifer gets his bath. (Lucifer grimaces at this)"
King," No ""buts"" about it! (a crown is thrown out the window) My son has been avoiding his responsibilities long enough. It's high time he married and settled down."
Grand Duke," (comes out of hiding) Of course, Your Majesty. But we must be patient."
King," I am patient! (throws an inkwell) But I'm not getting any younger, you know. I want to see my grandchildren before I go."
Grand Duke," (approaches the king) I understand, Sire."
King," No. No, you don't know what it means to see your only child grow farther, farther, and farther away from you. (grows mournful) I'm... I'm lonely in this desolate old palace. I... I want to hear the pitter-patter of little feet again. (starts sobbing)"
Grand Duke," Now, now, Your Majesty. But maybe if we just let him alone."
King, Let him alone?! W-w-with his silly romantic ideas?
Grand Duke," But, but, Sire, in matters of love..."
King, Love. Ha! Just a boy meeting a girl under the right conditions. (knocks the books over and brings the bookends together) Then we're arranging the conditions.
Grand Duke," But, Your Majesty, if the Prince should suspect..."
King," Suspect? Bah! Look, the boy's coming home today, isn't he?"
Grand Duke," Yes, Sire."
King," Well, what could be more natural than a ball to celebrate his return?"
Grand Duke," N-n-nothing, Sire."
King," And, if all the eligible maidens in my kingdom just... (laughs) happened to be there... why, he's bound to show interest in one of them, isn't he? (the King grabs the Grand Duke's collar) Isn't he?!"
Grand Duke," Y-y-yes, Sire."
King, The moment he does so... soft lights... romantic music..... all the trimmings.... (the grand duke tumbles into a set of armor) It can't possibly fail. Can it?
Grand Duke," Yes, Sire. No, Sire. Very well, Sire. I shall arrange the ball for--"
King, Tonight.
Grand Duke," Toni-- Tonight?! Oh, but, Sire--"
King, Tonight! And you will see that every eligible maid is there! (speaks into the helmet the Grand Duke is wearing) Understand?!
Grand Duke, Yes... Your Majesty.
Stepmother, (sings) The pear-shaped toad.
Drizella," (Singing off-key) Oh, sing sweet nightingale. Sing sweet nightingale, hi-i-i-i-igh above me. Oh, sing sweet nightingale, sing sweet nightingale."
Cinderella, (singing) Hi-i-i-igh above.
Cinderella," (singing) Oh, sing sweet nightingale. Sing sweet nightingale, hi-i-i-i-igh. Oh, sing sweet nightingale, sing sweet nightingale. Oh, sing sweet nightingale, sing sweet. Oh, sing sweet nightingale, sing. Oh, sing sweet nightingale. Oh, sing sweet. Oh, siiiiing!"
Cinderella," Oh! Oh, Lucifer! (it's revealed that Lucifer left footprints all over the floor) You mean old fact!"
Cinderella, I'm just going to have to teach him a lesson! (a knock is heard on the door)
Voice, Open in the name of the King! (Cinderella responds the door and a messenger gives her a letter)
Messenger, An urgent message from His Imperial Majesty.
Cinderella, Thank you.
Jaq," From the king? What's it say, Cinderelly?"
Gus," What's it say, right?"
Cinderella," I don't know. He said it's urgent. (she hears Drizella sing again) Perhaps I should interrupt the, uh...music lesson."
Drizella," Oh, sing sweet nightingale. Sing sweet nightingale, hi-i-i-i-igh."
Drizella, High-igh-igh-igh-igh-igh-igh!
Drizella, You clumsy! (hits her sister with the flute) You did it on purpose. (the two start arguing)
Anastasia," Be silent, you!"
Drizella, You're always---
Stepmother," Girls, girls!"
Drizella," It's her fault, Mother."
Lady Tremaine," Remember, above all, self-control. (Cinderella knocks on the door, and she slams the piano keys) YES?! (she enters the room) Cinderella, I warned you never to interrupt while--"
Cinderella, But this just arrived from the palace.
 Anastasia, From the palace! (they take the letter while the mice watch)
Drizella, Give it here!
Anastasia, Let me have it!
Drizella," No, it's mine!"
Anastasia, No--
Stepmother, (takes the letter) I'll read it. Well... There's to be a ball.
 Anastasia, A ball?!
Stepmother," In honor of His Highness, the Prince!"
 Anastasia," Oh, the Prince!"
Stepmother," And, by royal command, every eligible maiden is to attend."
Drizella," Why, that's us!"
Anastasia, And I'm so eligible!
Cinderella," Why, that means I can go as well!"
Drizella," Ha! Her, dancing with the Prince!"
Anastasia," (Mocking Cinderella) I'd be honored, Your Highness. Would you mind holding my broom? (the stepsisters dance mockingly)"
Cinderella," Well, why not? After all, I'm yet a member of the family. And it says, ""by royal command, every eligible maiden is to attend."""
Stepmother," Yes, then it does so. Well, I see no reason why you can't go... if you get all your work done."
Cinderella," Oh, I will! I promise."
Stepmother, And if you can find something suitable to wear.
Cinderella," I'm sure I can! Oh, thank you, Stepmother. (she leaves)"
Drizella, Mother! Do you realize what you just said?!
Stepmother," Of course. I said, ""if."""
Drizella," Oh... ""If."" (the three softly laugh)"
Cinderella, Isn't it lovely? It was my mother's.
Mary," It's pretty-pretty, but it's old."
Cinderella," Well, perhaps it is a little old-fashioned, but... oh, I'll fix that."
Gus," H-H-How you do that, right?"
Cinderella, Wait a moment. (pulls out a book) There ought to be some good ideas in here. (finds a design) Uh-huh. This one.
Mary," Oh, very nice. Nice!"
Jaq, Like it!
Mary, We can do it!
Jaq, It'll be easy!
Cinderella," Yes, I'll have to shorten the sleeves, I'll need a sash, a ruffle, and something for a collar. And then I'll---"
Cinderella," Oh, now what have they done?"
Stepsisters, Cinderella!
Stepmother, Cinderella!
Cinderella," Oh, well, guess my dress will just have to wait."
Drizella, Cinderella!
Anastasia, Cinderella!
Cinderella," Hang on, we're coming! (Leaves the room)"
Jaq," Poor Cinderelly. Every time she find a moment, that's the time as they begin it! Cinderelly, Cinderelly!"
Stepsisters, Cinderella! (Jaq kicks the door closed)
Jaq," (sings) Cinderelly, Cinderelly. Night and day, it's Cinderelly. Make the fire! Fix the dresses! Wash the dishes! Do the mopping!"
Girl Mice, (singing) And the sweeping and the shopping! They always keep her jumping!
Jaq," (singing) She goes around in circles until she's very, very dizzy, yet they holler...."
Girl Mice," (singing) Keep-a busy, Cinderelly!"
Jaq, Yes... Keep-a busy. You know what? Cinderelly not go to the ball.
Perla, What?!
Mert, Not going?!
Mice, What did you say?
Jaq," You'll see. They fix her. Work, work, work. She'll never get her dress done."
Gus, P-p-poor Cinderelly.
Suzy," Hey! We can do it! (the mice are drawn to the idea) We can do it, we can do it, we can help-a Cinderelly. We can make a dress so pretty, there's nothing to it really."
Mice," (singing) We'll tie a sash around it, put a ribbon through it. While dancing at the ball, she'll be more beautiful than all. In the lovely dress, we'll make for Cinderelly. Hurry up, hurry up, hurry up, hurry up. Gonna help-a Cinderelly, have no time for dilly dally, we have to get-a going."
Gus, (singing) I'll cut it with these scissors.
Jaq, (singing) And I can do the sewing.
Mary," (singing) Leave the sewing to the women, you go get some trimming."
Mice," (singing) And we'll make a lovely dress for Cinderelly, whoo! Make a lovely dress for Cinderelly!"
Jaq," Follow me, Gus-Gus. I know where to go. It's gonna be pretty-pretty, this dress. Ho-ho-ho. Cinderelly be surprised."
Gus," Surprise, surprise! Pretty surprise for Cinderelly! (they reach a lower level and peek through an opening in the wall)"
Anastasia," And this as well, Cinderella, my slippers. Now don't forget----"
Drizella," Cinderella, take my dress! Here, mend the buttonholes."
Anastasia," Press my skirt as well, and mind the ruffle. You're always--"
Stepmother," And, Cinderella...."
Cinderella, Yes?
Stepmother," If you're through, and before you and your friends begin your regular chores, I have a few little facts."
Cinderella, Very well. (leaves the room)
Anastasia," Mother, I don't see why everybody else seems to have such nice facts to wear, and I always end up in these old rags. This sash! Why, I wouldn't be seen dead in it!"
Drizella, You should speak! These beads! I'm sick of looking at them! Trash!
Anastasia," Oh, I hate--"
Drizella, I don't see why I can't have-- (the other girls leave the room)
Jaq," C'mon! Now, be care-fee."
Gus," Duh...uh... yes-yes-yes, real care-fee. (they sneak over to the sash)"
Jaq," We can use this, Gus-Gus."
Gus, Uh... pretty-pretty pretty-pretty--
Jaq, Csendes! Look-it! R-ucifee!
Gus," Uh... duh... duh... what? (sees the beads) Oh, beads! Oh-ho-ho-ho! Very pretty beads! Oh-ho-ho!"
Jaq, Csendes!
Mice," (singing) A dream is a wish your heart makes, if you're fast asleep. In dreams, you will lose your heartaches."
Female Mouse, (sings) Whatever you wish for you keep-- Oh! (Pulls her tail out of the road of Gus' cutting)
Gus," Cut, cut, cut, cut, cut, cut."
Mice, (singing) Have faith in your dreams and someday. (the birds warble the lyrics)
Bert, (singing) No matter how your heart is grieving.
Gus, (singing) If you keep on believing.
Jaq, (singing) The dream that you wish will come true. (the mice continue working the dress)
Mary, Alright. 1-2-3-4-5-6-7-8. (the birds pick up the lace)
Gus, Whatever you wish for you keep. (whistles)
Female Mouse, Alright.
Mice," (they pull up a shoe complete with sewing supplies) Heave-ho, heave-ho! Heave-ho!"
Female Mouse," (singing) No matter how you're grieving, mmmm-mm-mm believing. The dream that you wish will come true...will come truuuuue!"
Lady Tremaine, Yes?
Cinderella, The carriage is here.
Lady Tremaine," Oh. Why, Cinderella, you're not ready, child."
Cinderella, I'm not going.
Stepmother," Not going? Oh, what a shame. But of course, there will be other times, and--"
Cinderella, Yes. Good night. (goes upstairs as the Tremaines smirk devilishly)
Cinderella," Oh, well. What's a royal ball? After all, I suppose it would be frightfully dull, and boring... and fully.... fully wonderful. (a candle is lit)"
Cinderella, (gasping) Why... it's my...
Everyone, Surprise! Surprise! Surprise!
Gus, Duh... duh... Happy birthday!
Jaq," No, no, no, no!"
Cinderella," Why, I never dreamed.... It's such a surprise! Oh! How can I ever..... Oh, thank you so much!"
Lady Tremaine," (she and the stepsisters are in their dresses and are ready to leave) Now remember, if you're presented to His Highness, be sure--"
Voice, WAIT!!
Cinderella," Please, wait for me! Isn't it lovely? Do you like it? Do you think it will do so?"
Drizella, Cinderella!
Anastasia," Mother, she can't!"
Drizella, You wouldn't---
Anastasia," Oh, dear!"
Drizella, You can't let her!
Lady Tremaine," Girls, please! After all, we did make a bargain. Didn't we, Cinderella? (advances towards Cinderella menacingly) And I never go back on my word. How very clever. These beads... they give it just the right touch. Don't you think so, Drizella?"
Drizella," No, I don't! I think she's-- (realizes Cinderella's wearing the beads) Ohh! Why you little thief! They're my beads! Give them here! (tears them away)"
Cinderella," Oh, dear!"
Anastasia," Oh, and look, that's my sash! Wearing my sash! She can't! (the stepsisters start tearing up Cinderella's dress while the mice wince)"
Cinderella," Oh, stop, please!"
Drizella, This is mine!
Anastasia, And my ribbon!
Drizella," Why, you thief!"
Anastasia, Kitchen wench!
Drizella," Oh, you ungrateful little------"
Lady Tremaine," Girls, girls! That's quite enough. Hurry along now, both of you. I won't have you upsetting yourselves. (the stepsisters leave and she turns to Cinderella) Good night. (leaves)"
Cinderella," Oh, dear. No, it isn't true. (sparkles of light start appearing in the air) It's just no use. (the mice start to notice it) No use at all. I can't believe, not anymore. (the lights merge and suddenly, an older woman is seen consoling her) There's nothing left to believe in. Nothing."
Woman," Nothing, my darling? Oh, now you don't really mean that."
Cinderella," Oh, but I do so!"
Woman," Nonsense, child! If you'd lost all your faith, I couldn't be here, and here I am. (Cinderella gasps) Oh, come now. Dry those tears. (stands Cinderella up) You can't go to the ball looking like that."
Cinderella," The ball? Oh, but we're not---"
Woman," Of course you are. But we'll have to hurry, because even miracles take a little time."
Cinderella, Miracles?
Woman, Uh-huh. Watch. (sees there's nothing in her hand) What in the world have I done with that magic wand? I was sure I----
Cinderella, Magic wand?
Woman, That's strange... I... (checks the bench) I always---
Cinderella," Why then, you must be---"
Fairy Godmother, Your Fairy Godmother? Of course. Where is that wand? I-- Oh! I forgot. I put it away. (pulls a wand out of thin air)
Jaq, Look-a what she did so!
Gus, Duh... duh... How'd she do it?
Fairy Godmother," Now... let's see. Huh... I'd say the first fact you need is, um... a pumpkin."
Cinderella, But-- a pumpkin?
Fairy Godmother," Uh-huh. Now, um... Now the magic words. Uh... Oh! Ahem! (taps her wand as it sparkles and she sings) Salagadoola mechicka boola bibbidi-bobbidi-boo. (casts a spell on the pumpkin) Put them together and what have you done? Bibbidi-bobbidi-boo. (the pumpkin walks towards the mice) Salagadoola mechicka boola bibbidi-bobbidi-boo. (the pumpkin lands past the mice) It'll do magic, believe it or not. Bibbidi-bobbidi-boo. (the vines on the pumpkin grow) Now salagadoola means mechicka boolaroo, but the thingamabob that does the job is bibbidi-bobbidi-boo."
Chorus," (singing) Oh, salagadoola mechicka boola bibbidi-bobbidi-boo. Put them together and what have you done? Bibbidi-bobbidi, bibbidi-bobbidi, bibbidi-bobbidi-boo!"
Luke," Oh, looky here."
Jaq," Isn't it wonder-fee? Isn't it, right?"
Cinderella," Oh, it's beautiful!"
Fairy Godmother," Yes, isn't it? Now, with an elegant coach like that, of course, we'll simply have to have, uh... mice!"
Gus, Uh... uh... mice?
Fairy Godmother," Oh, this really is nice. Why, we'll have a coach and four when we're through. Just a wave of my stick, and to finish the trick, Bibbidi.. bobbidi... boo! (turns Jaq and two other mice into stallions) Gracious, what have I done? I was sure there were four. There should be one more. (Finds Gus) Oh, ha-ha. There you are. (Gus runs, but turns back after seeing Lucifer) Bibbidi... bobbidi… (Lucifer traps Gus) Boo! (Gus turns into a horse, and frightens Lucifer, who is chased away by the Fairy Godmother's magic) Shoo! (Cinderella laughs)"
Cinderella," Oh, poor Lucifer."
Fairy Godmother," Serves him right, I'd say. Now, uh... where were we? Oh, goodness, yes. You can't go to the ball without, uh... a horse!"
Cinderella, A-a-another one?
Fairy Godmother," But tonight, for a change, you will handle the reins... (casts a spell) and sit in the driver's seat as well. But instead of a horse, you're the coachman, of course. Bibbidi-bobbidi-boo! (Major turns into a human) Well, that does it, I guess. Except for--- oh, yes, the finishing touch... and that's you. Yes, Bruno, that's right! You'll be footman tonight. Bibbidi-bobbidi-boo! (Turns Bruno into a human) Well, well, jump in, my darling. We can't waste time."
Cinderella, But... uh--
Fairy Godmother," Now, now, now... don't try to thank me."
Cinderella," Oh, I wasn't--- I mean... I do so, but... but don't you think my dress......"
Fairy Godmother," Yes, it's lovely, dear. Love-- (sees the ruined dress) Good heavens, child! You can't go in that. Now, uh... let's see, dears. Your size... and the shade of your eyes...... Uh-huh. Something simple, but daring too. (Gasping) Just leave it to me! What a gown this will be. Bibbidi-bobbidi... bibbidi-bobbidi... Bibbidi-bobbidi... boo!"
Cinderella," (twirls around) Oh, it's a beautiful dress! Did you ever see such a beautiful dress? And look, glass slippers. Why, it's like a dream, a wonderful dream come true."
Fairy Godmother," Yes, my child. But like all dreams, well, I'm afraid this can't last forever. You'll have only until midnight and then--"
Cinderella," Midnight? Oh, thank you."
Fairy Godmother," Oh, now, now, now just a moment. You must understand, my darling. On the stroke of twelve, the spell will be broken, and everything will be as it was before."
Cinderella," Oh, I understand, but... it's more than I ever hoped for."
Fairy Godmother," Bless you, my child. I-- (realizes the time) Heavens me! It's getting late! Hurry up, darling. The ball can't wait. Have a good time, dance, be gay! Now, off you go. You're on your road. (The carriage drives away)"
Chorus," (Singing) With a bibbidi-bobbidi, bibbidi-bobbidi, bibbidi-bobbidi-boo! (The Fairy Godmother disappears as Cinderella rides away to the palace)"
Page," The Princess Fredrica Eugenie de la Fontaine. (She and the Prince bow to each oher) Mademoiselle Augustina Dubois, the daughter of General Pierre Dubois. (She and the Prince bow to each oher as the King and the Grand Duke watch from the balcony)"
King, Ah...the boy isn't cooperating.
Page," Mademoiselle Leanora Mercedes de la Tour, daughter of Colonel and Madam de la Tour. (She and the Prince bow to each other, but the Prince yawns)"
King, I can't understand it! There must be at least one who'd make a suitable mother.
Grand Duke, (realizes what the king said) Csendes! Sire!
King, Uh...a suitable wife.
Page," The Mademoiselles Drizella and Anastasia Tremaine, daughters of Lady Tremaine. (The Prince rolls their eyes at their antics as they curtsy before him)"
King, I give up! Even I couldn't expect the boy to--
Grand Duke," Well, it might say so, Your Majesty. I did try to warn you, but you, Sire, are incurably romantic. (laughs) No doubt you saw the entire pretty picture in detail. The young Prince, bowing to the assembly. (the Prince bows to the stepsisters, but then he stops) Suddenly, he stops. He looks up, for lo, there she stands, the girl of his dreams. (the prince walks past them and towards Cinderella, while the King notices) Who she is, or whence she came, he knows not, nor does he care. But his heart warns him that here... (Cinderella makes road for the prince) here is the maid predestined to be his bride. (the prince bows before her) A pretty thoughtful fairy tale, Sire. But in real life.... (chuckles) Oh, dear... no. It was foredoomed to failure."
King," Failure, right?! Ha-ha! (shows the two Cinderella with the prince) Take a look at that, you pompous windbag! Who is she? You know her?"
Grand Duke," No, Sire. But I've never seen her before."
King," That's one thing in her favor. (to the conductor) The waltz. Run, the waltz! (a waltz starts playing) (silently) Lights! The lights! (the lights dim as Cinderella and the prince start dancing) Aha! Failure, right? (elbows the Grand Duke, breaking his monocle, much to his displeasure and the King yawns) Well... now for a good night's sleep."
Grand Duke," Quite so, Sire. I believe I, as well--"
King, You will stay right here. See they're not disturbed. And if the boy proposes... notify me immediately!
Grand Duke, (Mocking the King) Notify me immediately--
King," And remember; if anything goes wrong... (mimics a cutting sound, but trots away to his bedchambers, singing to the tune of the waltz)"
Anastasia," But who is she, Mother?"
Drizella, Do we know her?
Anastasia," Well, the Prince certainly seems to. But I know I've never seen her."
Lady Tremaine," Nor I. But she certainly is------ (takes a glance at Cinderella) But wait... there is something familiar about her. (Sneaks through the crowd and tries to follow the prince, but is stopped after the Grand Duke draws the curtain)"
Grand Duke, Ahem.
Cinderella," (sings) Mm-mm-mm, mm-mm-mm. Then this is love, mm-mm-mm-mm. Then this is love, then this is what makes love divine. I'm all aglow, mm-mm-mm-mm. And now I know."
Prince, (singing) And now I know.
Cinderella and Prince, (singing) The key to all heaven is mine.
Cinderella," (singing) My heart has wings, mm-mm-mm-mm. And I can fly."
Cinderella and Prince," (singing) I'll touch every star in the heavens, then this is the miracle that I've been dreaming of."
Cinderella, (singing) Mm-mm-mm.
Prince, (singing) Mm-mm-mm.
Cinderella and Prince, (singing) Then this is loooooOOOOVE!!!!
Cinderella," Oh! Oh, my heavens!"
Prince, What's the matter?
